YearStart,LocationAbbr,LocationDesc,Data_Value,Sample_Size,GeoLocation,QuestionID,StratificationCategoryId1,StratificationID1
2015,US,National,30.4,390656.0,,Q046,OVR,OVERALL
2012,US,National,35.7,442230.0,,Q037,OVR,OVERALL
2018,US,National,24.2,430259.0,,Q047,OVR,OVERALL
2014,US,National,28.9,425875.0,,Q036,OVR,OVERALL
2015,US,National,35.7,398316.0,,Q037,OVR,OVERALL
2015,US,National,28.9,398316.0,,Q036,OVR,OVERALL
2011,US,National,27.4,470700.0,,Q036,OVR,OVERALL
2018,US,National,30.9,396022.0,,Q036,OVR,OVERALL
2018,US,National,35.0,396022.0,,Q037,OVR,OVERALL
2014,US,National,35.2,425875.0,,Q037,OVR,OVERALL
2013,US,National,28.3,457487.0,,Q036,OVR,OVERALL
2015,US,National,31.3,378856.0,,Q045,OVR,OVERALL
2015,US,National,25.9,396649.0,,Q047,OVR,OVERALL
2012,US,National,27.7,442230.0,,Q036,OVR,OVERALL
2015,US,National,20.5,377253.0,,Q044,OVR,OVERALL
2017,US,National,35.3,408448.0,,Q037,OVR,OVERALL
2015,US,National,50.9,381483.0,,Q043,OVR,OVERALL
2011,US,National,51.6,458088.0,,Q043,OVR,OVERALL
2011,US,National,20.6,453721.0,,Q044,OVR,OVERALL
2011,US,National,31.8,454894.0,,Q045,OVR,OVERALL
2011,US,National,29.3,469312.0,,Q046,OVR,OVERALL
2011,US,National,25.4,475078.0,,Q047,OVR,OVERALL
2012,US,National,23.3,465777.0,,Q047,OVR,OVERALL
2013,US,National,50.2,433081.0,,Q043,OVR,OVERALL
2013,US,National,20.2,428975.0,,Q044,OVR,OVERALL
2013,US,National,26.3,450093.0,,Q047,OVR,OVERALL
2013,US,National,31.2,429607.0,,Q045,OVR,OVERALL
2013,US,National,29.6,444324.0,,Q046,OVR,OVERALL
2014,US,National,23.7,454431.0,,Q047,OVR,OVERALL
2017,US,National,30.1,408448.0,,Q036,OVR,OVERALL
2011,US,National,35.8,470531.0,,Q037,OVR,OVERALL
2017,US,National,30.9,392209.0,,Q045,OVR,OVERALL
2013,US,National,35.5,457487.0,,Q037,OVR,OVERALL
2017,US,National,30.5,403374.0,,Q046,OVR,OVERALL
2017,US,National,50.3,394726.0,,Q043,OVR,OVERALL
2017,US,National,20.3,389612.0,,Q044,OVR,OVERALL
2017,US,National,36.0,405047.0,,Q018,OVR,OVERALL
2017,US,National,26.6,410595.0,,Q047,OVR,OVERALL
2017,US,National,19.0,396800.0,,Q019,OVR,OVERALL
2016,US,National,24.2,476876.0,,Q047,OVR,OVERALL
2016,US,National,35.2,438479.0,,Q037,OVR,OVERALL
2016,US,National,29.6,438479.0,,Q036,OVR,OVERALL
2020,US,National,23.5,394153.0,,Q047,OVR,OVERALL
2020,US,National,31.9,353841.0,,Q036,OVR,OVERALL
2020,US,National,34.8,353841.0,,Q037,OVR,OVERALL
2019,US,National,35.2,374073.0,,Q037,OVR,OVERALL
2019,US,National,21.0,356117.0,,Q019,OVR,OVERALL
2019,US,National,23.0,354386.0,,Q044,OVR,OVERALL
2019,US,National,51.5,359753.0,,Q043,OVR,OVERALL
2019,US,National,26.0,388044.0,,Q047,OVR,OVERALL
2019,US,National,35.3,373038.0,,Q046,OVR,OVERALL
2019,US,National,31.4,374073.0,,Q036,OVR,OVERALL
2019,US,National,32.1,361169.0,,Q045,OVR,OVERALL
2019,US,National,39.2,365134.0,,Q018,OVR,OVERALL
